㜬 0X372C 첨
㜭 0X372D 당
㜮 0X372E 람
㜯 0X372F 희
㜰 0X3730 약
㜱 0X3731 질
㜲 0X3732 영
㜳 0X3733 회
㜴 0X3734 몽
㜵 0X3735 뇨
㜶 0X3736 반
㜷 0X3737 미
㜸 0X3738 얼
㜹 0X3739 구
㜺 0X373A 찬
㜻 0X373B 련
㜼 0X373C 질
㜽 0X373D 자
㜾 0X373E 해
㜿 0X373F 서
㝀 0X3740 호
㝁 0X3741 견
㝂 0X3742 제
㝃 0X3743 면
㝄 0X3744 순
㝅 0X3745 누
㝆 0X3746 희
㝇 0X3747 순
㝈 0X3748 련
㝉 0X3749 저
㝊 0X374A 수
㝋 0X374B 료
㝌 0X374C 구
㝍 0X374D 사
㝎 0X374E 정
㝏 0X374F 개
㝐 0X3750 용
㝑 0X3751 방
㝒 0X3752 거
㝓 0X3753 합
㝔 0X3754 요
㝕 0X3755 녕
㝖 0X3756 의
㝗 0X3757 량
㝘 0X3758 옹
㝙 0X3759 인
㝚 0X375A 연
㝛 0X375B 숙
㝜 0X375C 석
㝝 0X375D 림
㝞 0X375E 아
㝟 0X375F 모
㝠 0X3760 명
㝡 0X3761 최
㝢 0X3762 우
㝣 0X3763 예
㝤 0X3764 구
㝥 0X3765 미
㝦 0X3766 준
㝧 0X3767 온
㝨 0X3768 원
㝩 0X3769 강
㝪 0X376A 점
㝫 0X376B 륭
㝬 0X376C 할
㝭 0X376D 성
㝮 0X376E 최
㝯 0X376F 교
㝰 0X3770 면
㝱 0X3771 몽
㝲 0X3772 침
㝳 0X3773 대
㝴 0X3774 완
㝵 0X3775 애
㝶 0X3776 득
㝷 0X3777 심
㝸 0X3778 변
㝹 0X3779 누
㝺 0X377A 렴
㝻 0X377B 근
㝼 0X377C 우
㝽 0X377D 수
㝾 0X377E 좌
㝿 0X377F 파
㞀 0X3780 회
㞁 0X3781 요
㞂 0X3782 퇴
㞃 0X3783 극
㞄 0X3784 암
㞅 0X3785 라
㞆 0X3786 기
㞇 0X3787 외
㞈 0X3788 발
㞉 0X3789 찰
㞊 0X378A 술
㞋 0X378B 직
㞌 0X378C 잉
㞍 0X378D 환
㞎 0X378E 파
㞏 0X378F 칩
㞐 0X3790 거
㞑 0X3791 미
㞒 0X3792 해
㞓 0X3793 기
㞔 0X3794 시
㞕 0X3795 설
㞖 0X3796 차
㞗 0X3797 구
㞘 0X3798 독
㞙 0X3799 뇨
㞚 0X379A 칩
㞛 0X379B 기
㞜 0X379C 퇴
㞝 0X379D 척
㞞 0X379E 송
㞟 0X379F 전
㞠 0X37A0 료
㞡 0X37A1 전
㞢 0X37A2 지
㞣 0X37A3 분
㞤 0X37A4 음
㞥 0X37A5 잠
㞦 0X37A6 궤
㞧 0X37A7 회
㞨 0X37A8 지
㞩 0X37A9 람
㞪 0X37AA 노
㞫 0X37AB 주
㞬 0X37AC 근
㞭 0X37AD 대
㞮 0X37AE 위
㞯 0X37AF 기
㞰 0X37B0 허
㞱 0X37B1 총
㞲 0X37B2 웅
㞳 0X37B3 두
㞴 0X37B4 지
㞵 0X37B5 도
㞶 0X37B6 민
㞷 0X37B7 왕
㞸 0X37B8 불
㞹 0X37B9 가
㞺 0X37BA 족
㞻 0X37BB 호
㞼 0X37BC 승
㞽 0X37BD 월
㞾 0X37BE 니
㞿 0X37BF 기
㟀 0X37C0 련
㟁 0X37C1 안
㟂 0X37C2 모
㟃 0X37C3 사
㟄 0X37C4 상
㟅 0X37C5 앙
㟆 0X37C6 화
㟇 0X37C7 좌
㟈 0X37C8 구
㟉 0X37C9 로
㟊 0X37CA 부
㟋 0X37CB 태
㟌 0X37CC 망
㟍 0X37CD 랑
㟎 0X37CE 타
㟏 0X37CF 함
㟐 0X37D0 망
㟑 0X37D1 발
㟒 0X37D2 균
㟓 0X37D3 기
㟔 0X37D4 함
㟕 0X37D5 두
㟖 0X37D6 롱
㟗 0X37D7 빈
㟘 0X37D8 조
㟙 0X37D9 책
㟚 0X37DA 기
㟛 0X37DB 잠
㟜 0X37DC 미
㟝 0X37DD 배
㟞 0X37DE 잔
㟟 0X37DF 항
㟠 0X37E0 강
㟡 0X37E1 권
㟢 0X37E2 기
㟣 0X37E3 숭
㟤 0X37E4 록
㟥 0X37E5 참
㟦 0X37E6 운
㟧 0X37E7 악
㟨 0X37E8 단
㟩 0X37E9 민
㟪 0X37EA 위
㟫 0X37EB 천
㟬 0X37EC 수
㟭 0X37ED 민
㟮 0X37EE 돌
㟯 0X37EF 액
㟰 0X37F0 명
㟱 0X37F1 요
㟲 0X37F2 원
㟳 0X37F3 률
㟴 0X37F4 외
㟵 0X37F5 강
㟶 0X37F6 원
㟷 0X37F7 답
㟸 0X37F8 고
㟹 0X37F9 료
㟺 0X37FA 루
㟻 0X37FB 참
㟼 0X37FC 오
㟽 0X37FD 표
㟾 0X37FE 용
㟿 0X37FF 망
㠀 0X3800 도
㠁 0X3801 참
㠂 0X3802 오
㠃 0X3803 적
㠄 0X3804 습
㠅 0X3805 복
㠆 0X3806 단
㠇 0X3807 추
㠈 0X3808 윤
㠉 0X3809 동
㠊 0X380A 허
㠋 0X380B 악
㠌 0X380C 기
㠍 0X380D 집
㠎 0X380E 집
㠏 0X380F 화
㠐 0X3810 교
㠑 0X3811 죄
㠒 0X3812 표
㠓 0X3813 몽
㠔 0X3814 배
㠕 0X3815 외
㠖 0X3816 의
㠗 0X3817 오
㠘 0X3818 서
㠙 0X3819 호
㠚 0X381A 대
㠛 0X381B 확
㠜 0X381C 의
㠝 0X381D 찬
㠞 0X381E 징
㠟 0X381F 려
㠠 0X3820 려
㠡 0X3821 뇨
㠢 0X3822 회
㠣 0X3823 력
㠤 0X3824 양
㠥 0X3825 뢰
㠦 0X3826 풍
㠧 0X3827 미
㠨 0X3828 울
㠩 0X3829 황
㠪 0X382A 거
㠫 0X382B 부
㠬 0X382C 부
㠭 0X382D 전
㠮 0X382E 봉
㠯 0X382F 이
㠰 0X3830 갈
㠱 0X3831 기
㠲 0X3832 비
㠳 0X3833 막
㠴 0X3834 인
㠵 0X3835 황
㠶 0X3836 범
㠷 0X3837 갑
㠸 0X3838 부
㠹 0X3839 개
㠺 0X383A 사
㠻 0X383B 희
㠼 0X383C 사
㠽 0X383D 동
㠾 0X383E 원
㠿 0X383F 자
㡀 0X3840 폐
㡁 0X3841 과
㡂 0X3842 례
㡃 0X3843 황
㡄 0X3844 순
㡅 0X3845 나
㡆 0X3846 황
㡇 0X3847 첩
㡈 0X3848 문
㡉 0X3849 현
㡊 0X384A 흡
㡋 0X384B 업
㡌 0X384C 모
㡍 0X384D 백
㡎 0X384E 삼
㡏 0X384F 유
㡐 0X3850 전
㡑 0X3851 조
㡒 0X3852 준
㡓 0X3853 곤
㡔 0X3854 무
㡕 0X3855 영
㡖 0X3856 종
㡗 0X3857 체
㡘 0X3858 렴
㡙 0X3859 비
㡚 0X385A 구
㡛 0X385B 황
㡜 0X385C 설
㡝 0X385D 봉
㡞 0X385E 루
㡟 0X385F 조
㡠 0X3860 정
㡡 0X3861 주
㡢 0X3862 만
㡣 0X3863 룡
㡤 0X3864 업
㡥 0X3865 은
㡦 0X3866 빈
㡧 0X3867 정
㡨 0X3868 첨
㡩 0X3869 란
㡪 0X386A 눈
㡫 0X386B 예
㡬 0X386C 기
㡭 0X386D 계
㡮 0X386E 기
㡯 0X386F 택
㡰 0X3870 우
㡱 0X3871 구
㡲 0X3872 환
㡳 0X3873 저
㡴 0X3874 랍
㡵 0X3875 령
㡶 0X3876 지
㡷 0X3877 본
㡸 0X3878 사
㡹 0X3879 저
㡺 0X387A 단
㡻 0X387B 료
㡼 0X387C 예
㡽 0X387D 조
㡾 0X387E 한
㡿 0X387F 척
㢀 0X3880 자
㢁 0X3881 치
㢂 0X3882 엄
㢃 0X3883 랑
㢄 0X3884 두
㢅 0X3885 롱
㢆 0X3886 전
㢇 0X3887 언
㢈 0X3888 퇴
㢉 0X3889 타
㢊 0X388A 의
㢋 0X388B 치
㢌 0X388C 아
㢍 0X388D 영
㢎 0X388E 접
㢏 0X388F 투
㢐 0X3890 아
㢑 0X3891 수
㢒 0X3892 차
㢓 0X3893 장
㢔 0X3894 종
㢕 0X3895 옹
㢖 0X3896 반
㢗 0X3897 교
㢘 0X3898 렴
㢙 0X3899 근
㢚 0X389A 로
㢛 0X389B 엄
㢜 0X389C 강
㢝 0X389D 소
㢞 0X389E 익
㢟 0X389F 지
㢠 0X38A0 형
㢡 0X38A1 장
㢢 0X38A2 폐
㢣 0X38A3 경
㢤 0X38A4 재
㢥 0X38A5 동
㢦 0X38A6 가
㢧 0X38A7 권
㢨 0X38A8 한
㢩 0X38A9 적
㢪 0X38AA 오
㢫 0X38AB 산
㢬 0X38AC 횡
㢭 0X38AD 도
㢮 0X38AE 이
㢯 0X38AF 돈
㢰 0X38B0 피
㢱 0X38B1 며
㢲 0X38B2 손
㢳 0X38B3 로
㢴 0X38B4 서
㢵 0X38B5 협
㢶 0X38B6 필
㢷 0X38B7 세
㢸 0X38B8 필
㢹 0X38B9 신
