钳	鉗
钴	鈷
钵	缽
钸	鈽
钹	鈸
钻	鑽	鉆
钾	鉀
铀	鈾
铁	鐵
铂	鉑
铃	鈴
铄	鑠
铅	鉛
铉	鉉
铎	鐸
铐	銬
铙	鐃
铛	鐺
铜	銅
铝	鋁
铢	銖
铣	銑	鐉
铨	銓
铬	鉻
铭	銘
铮	錚
铰	鉸
铲	剷	剗	鏟
银	銀
铸	鑄
铺	鋪	舖
链	鏈
铿	鏗
销	銷
锁	鎖
锄	鋤	耡	鉏
锅	鍋
锈	鏽
锉	銼	剉
锋	鋒
锌	鋅
锐	銳
锑	銻
错	錯
锚	錨
锡	錫
锣	鑼
锤	錘
锥	錐
锦	錦
锭	錠
键	鍵
锯	鋸
锰	錳
锲	鍥
锵	鏘
锹	鍬
锻	鍛
锾	鍰
镀	鍍
镁	鎂
镂	鏤
镇	鎮
镍	鎳
镑	鎊
镕	鎔
镖	鏢
镗	鏜
镘	鏝
镙	鏍
镜	鏡
镝	鏑
镞	鏃
镣	鐐
镭	鐳
镯	鐲
镰	鐮
镳	鑣
镶	鑲
长	長
门	門
闩	閂
闪	閃
闭	閉
问	問
闯	闖
闰	閏
闱	闈
闲	閒	閑
间	間
闵	閔
闷	悶
闸	閘
闹	鬧
闺	閨
闻	聞
闽	閩
闾	閭
阀	閥
阁	閣
阂	閡
阅	閱
阎	閻
阐	闡
阑	闌
阔	闊
阕	闋
阖	闔
阗	闐
队	隊
阳	陽
阴	陰
阵	陣
阶	階
际	際
陆	陸
陇	隴
陈	陳
陕	陝	陜
陨	隕
险	險
随	隨
隐	隱
隶	隸
隽	雋
难	難
雁	雁
雇	僱
雇	雇
雏	雛
雕	雕	鵰	彫	琱
雳	靂
雾	霧
霁	霽
霉	霉	黴
霭	靄
靓	靚
静	靜
面	面	麵
靥	靨
鞑	韃
韦	韋
韧	韌
韩	韓
韬	韜
韵	韻
页	頁
顶	頂
顷	頃
项	項
顺	順
须	須	鬚
顼	頊
顽	頑
顾	顧	頋
顿	頓
颁	頒
颂	頌
预	預
颅	顱
领	領
颇	頗
颈	頸
颉	頡
颊	頰
颐	頤
频	頻
颓	頹
颔	頷
颖	穎
颗	顆
题	題
颚	顎
颛	顓
颜	顏
额	額
颞	顳
颠	顛
颤	顫
颦	顰
风	風
飏	颺
飒	颯
飓	颶
飕	颼
飘	飄
飙	飆
飞	飛
餍	饜
饥	飢	饑
饨	飩
饪	飪
饬	飭
饭	飯
饮	飲
饯	餞
饰	飾
饱	飽
饲	飼
饴	飴
饵	餌
饶	饒
饷	餉
饺	餃
饼	餅
饿	餓
馁	餒
馄	餛
馅	餡
馆	館
馈	餽
馈	饋	餽
馊	餿
馋	饞
馏	餾
馒	饅
马	馬
驭	馭
驮	馱
驯	馴
驰	馳
驱	驅
驳	駁	駮
驴	驢
驶	駛
驷	駟
驸	駙
驹	駒
驻	駐
驼	駝
驽	駑
驾	駕
驿	驛
骂	罵
骄	驕
骆	駱
骇	駭
骈	駢
骊	驪
骋	騁
验	驗
骏	駿
骑	騎
骗	騙
骚	騷
骛	騖
骞	騫
骠	驃
骡	騾
骤	驟
骥	驥
髅	髏
鬓	鬢
魇	魘
鱼	魚
鱿	魷
鲁	魯
鲈	鱸
鲍	鮑
鲔	鮪
鲛	鮫
鲜	鮮
鲢	鰱
鲤	鯉
鲧	鯀	鮌
鲨	鯊
鲫	鯽
鲳	鯧
鲸	鯨
鳀	鯷	鮷
鳃	鰓
鳄	鱷
鳅	鰍	鰌
鳌	鰲	鼇
鳍	鰭
鳏	鰥
鳔	鰾
鳖	鱉
鳖	鼈
鳗	鰻
鳜	鱖
鳝	鱔
鳞	鱗
鸟	鳥
鸠	鳩
鸡	雞
鸢	鳶
鸣	鳴
鸥	鷗
鸦	鴉
鸩	鴆	酖
鸪	鴣
鸭	鴨
鸯	鴦
鸰	鴒
鸳	鴛
鸵	鴕
鸶	鷥
鸽	鴿
鸾	鸞
鸿	鴻
鹃	鵑
鹄	鵠
鹅	鵝
鹇	鷴
鹉	鵡
鹊	鵲
鹌	鵪
鹏	鵬
鹑	鶉
鹚	鷀
鹞	鷂
鹤	鶴
鹦	鸚
鹧	鷓
鹭	鷺
鹰	鷹
麦	麥
麸	麩
麹	麴
麻	麻	痲	蔴
麽	麼
黄	黃
黩	黷
鼗	鞀	鞉	鼗
鼹	鼴
齐	齊
齿	齒
龃	齟
龄	齡
龇	齜
龈	齦
龉	齬
龊	齪
龋	齲
龌	齷
龙	龍
龚	龔
龟	龜
